
1,Mario,Rossi,mario@example.com
2,Luigi,Bianchi,luigi@example.com
3,Martina,Caruso,martinacaruso@email.com
4,Costanza,Barbieri,costanzabarbieri@email.com
5,Davide,Caruso,davidecaruso@email.com
6,Teresa,Gallo,teresagallo@email.com
7,Irene,Conti,ireneconti@email.com
8,Simone,Gallo,simonegallo@email.com
9,Serena,Greco,serenagreco@email.com
10,Cecilia,Romano,ceciliaromano@email.com
11,Elena,Messina,elenamessina@email.com
12,Costanza,Colombo,costanzacolombo@email.com
13,Alessia,Longo,alessialongo@email.com
14,Matteo,Russo,matteorusso@email.com
15,Simone,Moretti,simonemoretti@email.com
16,Davide,Mancini,davidemancini@email.com
17,Emanuele,Moretti,emanuelemoretti@email.com
18,Serena,Russo,serenarusso@email.com
19,Massimo,Russo,massimorusso@email.com
20,Silvia,Sanna,silviasanna@email.com
21,Alessia,Moretti,alessiamoretti@email.com
22,Chiara,Longo,chiaralongo@email.com
23,Luca,Barbieri,lucabarbieri@email.com
24,Simone,Russo,simonerusso@email.com
25,Giulia,Serra,giuliaserra@email.com
26,Valentina,Ricci,valentinaricci@email.com
27,Eugenia,Caruso,eugeniacaruso@email.com
28,Teresa,Parisi,teresaparisi@email.com
29,Giulia,Esposito,giuliaesposito@email.com
30,Gabriella,Gallo,gabriellagallo@email.com
31,Carlo,Conti,carloconti@email.com
32,Zaira,Sanna,zairasanna@email.com
33,Gabriella,Romano,gabriellaromano@email.com
34,Nicole,Sanna,nicolesanna@email.com
35,Costanza,DeLuca,costanzadeluca@email.com
36,Rachele,Messina,rachelemessina@email.com
37,Silvia,Santoro,silviasantoro@email.com
38,Pietro,Giordano,pietrogiordano@email.com
39,Irene,Longo,irenelongo@email.com
40,Valentina,Longo,valentinalongo@email.com
41,Bianca,Longo,biancalongo@email.com
42,Isabella,Longo,isabellalongo@email.com
43,Alessandro,Giordano,alessandrogiordano@email.com
44,Isabella,Ferrari,isabellaferrari@email.com
45,Nicoletta,Russo,nicolettarusso@email.com
46,Vittoria,Lombardi,vittorialombardi@email.com
47,Irene,Amato,ireneamato@email.com
48,Antonio,Sanna,antoniosanna@email.com
49,Isabella,Marino,isabellamarino@email.com
50,Federico,Sanna,federicosanna@email.com
51,Laura,Lombardi,lauralombardi@email.com
52,Carlo,Esposito,carloesposito@email.com
53,Lorenzo,Esposito,lorenzoesposito@email.com
54,Laura,Monti,lauramonti@email.com
55,Antonio,Barbieri,antoniobarbieri@email.com
56,Lorenzo,Serra,lorenzoserra@email.com
57,Ludovica,Amato,ludovicaamato@email.com
58,Giorgia,Gallo,giorgiagallo@email.com
59,Lorenzo,Greco,lorenzogreco@email.com
60,Fabiola,Giordano,fabiolagiordano@email.com
61,Francesco,Moretti,francescomoretti@email.com
